key,zh,en
AC.PosTopRight,右上角,Top Right
AC.PosTopLeft,左上角,Top Left
AC.PosBottomRight,右下角,Bottom Right
AC.PosBottomLeft,左下角,Bottom Left
AC.PosCenter,中心,Center
AC.MaxWindows,最大窗口数,Max windows
AC.HideAll,隐藏所有,Hide All
AC.TaskQueue,任务队列,Task Queue
AC.TaskQueueStatus,"({0} 待处理, {1} 运行中, {2} 已完成)","({0} pending, {1} running, {2} completed)"
AC.ClearQueue,清空队列,Clear queue
AC.TargetAgentLabel,目标Agent:,Target agent:
AC.CancelTask,取消任务,Cancel task
AC.UsageStats,使用统计,Usage Statistics
AC.Today,今天,Today
AC.Yesterday,昨天,Yesterday
AC.ThisWeek,本周,This Week
AC.ThisMonth,本月,This Month
AC.RefreshStats,刷新统计,Refresh statistics
AC.ExportStats,导出统计,Export statistics
AC.BasicStats,基础统计,Basic Statistics
AC.TotalRequests,总请求数,Total Requests
AC.SuccessRate,成功率,Success Rate
AC.AvgTime,平均耗时,Avg. Time
AC.TokenUsage,令牌使用,Token Usage
AC.FunctionRanking,功能使用排行,Feature Usage Ranking
AC.ColFunction,功能,Feature
AC.ColCount,次数,Count
AC.RecentErrors,最近错误,Recent Errors
AC.ColTime,时间,Time
AC.ColError,错误,Error
AC.AgentLog,Agent交互日志,Agent Interaction Log
AC.ClearLog,清空日志,Clear log
AC.CtorFailed,AI协作界面构造失败: {0}\n\n详细信息: {1},Failed to construct AI collaboration view: {0}\n\nDetails: {1}
AC.InitError,初始化错误,Initialization Error
AC.InitFailed,AI协作系统初始化失败: {0},Failed to initialize AI collaboration system: {0}
AC.AIServiceInitFailed,AI服务初始化失败：{0}\n\n应用程序将继续运行，但AI功能可能不可用。,"AI service initialization failed: {0}\n\nThe application will continue running, but AI features may be unavailable."
AC.UIInitFailed,UI初始化失败：{0},UI initialization failed: {0}
AC.AgentDetails,Agent详情,Agent Details
AC.AgentDetailsBody,Agent: {0}\n描述: {1}\n版本: {2}\n\n能力列表:\n{3},Agent: {0}\nDescription: {1}\nVersion: {2}\n\nCapabilities:\n{3}
AC.ViewAgentDetailsFailed,查看Agent详情失败：{0},Failed to view agent details: {0}
AC.ResetAgentFailed,重置Agent失败：{0},Failed to reset agent: {0}
AC.EnterTestPromptFirst,请先在右侧快速测试区域输入项目设定、章节大纲或待处理文本。,"Please enter project settings, chapter outline, or text to process in the Quick Test area on the right first."
AC.StatusIdle,空闲中,Idle
AC.StatusWorking,工作中,Working
AC.StatusWaiting,等待中,Waiting
AC.StatusError,错误状态,Error
AC.StatusOffline,离线,Offline
AC.StatusUnknown,未知状态,Unknown
AC.WfPending,等待执行,Pending
AC.WfRunning,执行中,Running
AC.WfCompleted,已完成,Completed
AC.WfPaused,已暂停,Paused
AC.WfCancelled,已取消,Cancelled
AC.WfFailed,执行失败,Failed
AC.OllamaConnTestOk,Ollama连接测试成功,Ollama connection test succeeded
AC.OllamaConnTestFail,Ollama连接测试失败: {0},Ollama connection test failed: {0}
AC.DeepSeekConnTestOk,DeepSeek API连接测试成功,DeepSeek API connection test succeeded
AC.DeepSeekConnTestFail,DeepSeek API连接测试失败,DeepSeek API connection test failed
AC.ProviderNotInit,{0}服务未初始化,The {0} service is not initialized
AC.ConnTestException,连接测试异常: {0},Connection test error: {0}
AC.ConfigValidationFailed,配置验证失败,Configuration validation failed
AC.OllamaConfigSaved,Ollama配置保存成功,Ollama configuration saved
AC.OllamaConfigSaveFailed,Ollama配置保存失败,Failed to save Ollama configuration
AC.DeepSeekConfigSaved,DeepSeek配置保存成功,DeepSeek configuration saved
AC.DeepSeekConfigSaveFailed,DeepSeek配置保存失败,Failed to save DeepSeek configuration
AC.UnsupportedProvider,不支持的提供者: {0},Unsupported provider: {0}
AC.SaveConfigException,保存配置异常: {0},Exception while saving configuration: {0}
AC.TestChainTitle,测试思维链,Test Chain of Thought
AC.TestChainDesc,这是一个测试思维链，展示AI的思考过程,This is a test chain of thought demonstrating the AI's reasoning process
AC.TestStepAnalysisTitle,分析问题,Analyze the Problem
AC.TestStepAnalysisContent,首先分析用户提出的问题，理解需求的核心要点,First analyze the user's question and identify the core requirements
AC.TestStepPlanningTitle,制定计划,Make a Plan
AC.TestStepPlanningContent,根据问题分析结果，制定解决方案的具体步骤,Define concrete solution steps based on the problem analysis
AC.TestStepReasoningTitle,推理过程,Reasoning
AC.TestStepReasoningContent,运用逻辑推理，逐步推导出可能的解决方案,Apply logical reasoning to derive possible solutions step by step
AC.TestStepEvaluationTitle,方案评估,Evaluate Solutions
AC.TestStepEvaluationContent,评估各种解决方案的可行性和优缺点,"Assess the feasibility, pros, and cons of each solution"
AC.TestStepConclusionTitle,综合结论,Final Conclusion
AC.TestStepConclusionContent,综合所有分析结果，得出最终的解决方案,Synthesize all findings into the final solution
AC.TestChainFinal,测试思维链执行完成，所有步骤都已成功处理。,Test chain of thought completed; all steps were processed successfully.
AC.StatisticsServiceNotInit,统计服务未初始化,Statistics service is not initialized
AC.ExportFileName,AI使用统计_{0},AI usage stats_{0}
AC.StatsExported,统计数据已导出到: {0},Statistics exported to: {0}
AC.ExportSuccess,导出成功,Export succeeded
AC.NoStatsToExport,没有可导出的统计数据,No statistics available to export
AC.ExportStatsFailed,导出统计失败: {0},Failed to export statistics: {0}
AC.ConfigWindowTitle,AI配置管理,AI Configuration Management
AC.OpenConfigFailed,打开配置窗口失败: {0},Failed to open configuration window: {0}
AC.RefreshFailed,刷新失败：{0},Refresh failed: {0}
AC.RefreshModelsFailed,刷新模型列表失败：{0},Failed to refresh model list: {0}
AC.EnterTestPrompt,请输入测试提示词,Please enter a test prompt
AC.ProcessingText,正在处理...,Processing...
AC.ErrorModelManagerNotInit,错误: 模型管理器未初始化,Error: model manager is not initialized
AC.ErrorPrefix,错误: {0},Error: {0}
AC.TestFailed,测试失败: {0},Test failed: {0}
AC.TestFailedFull,测试失败：{0},Test failed: {0}
AC.LoadingModels,正在加载模型列表...,Loading model list...
AC.LoadFailed,加载失败: {0},Failed to load: {0}
AC.DeepSeekModelDesc,DeepSeek {0} 模型,DeepSeek {0} model
AC.ModelTooltip,模型: {0}\n描述: {1}\n大小: {2},Model: {0}\nDescription: {1}\nSize: {2}
AC.OllamaOnline,Ollama在线 (v{0}),Ollama online (v{0})
AC.OllamaOffline,Ollama离线,Ollama offline
AC.DeepSeekConfigured,DeepSeek已配置 ({0}),DeepSeek configured ({0})
AC.DeepSeekNotConfigured,DeepSeek未完成配置,DeepSeek is not fully configured
AC.StatusProbeUnsupported,{0}暂不支持状态探测,{0} does not support status probing yet
AC.ConnectionFailed,连接失败,Connection failed
CP.AcceptItem,采纳,Accept
CP.EditItem,修改,Edit
CP.RejectItem,放弃,Discard
CP.AcceptAll,全部采纳,Accept All
CP.RejectCard,放弃整卡,Discard Card
CP.CollapseTooltip,收起 AI 创作助手,Collapse AI Copilot
CP.StageNotStarted,流水线：未开始,Pipeline: not started
CP.StageNotStartedHint,流水线：未开始（回复「开始规划」启动）,"Pipeline: not started (reply ""Start Planning"" to begin)"
CP.StageGenerating,流水线：{0} · 生成中…,Pipeline: {0} · generating...
CP.Stage,流水线：{0},Pipeline: {0}
CP.ChapterRef,已关联《{0}》 第{1}卷「{2}」 第{3}章《{4}》 — 输入要求直接处理本章,"Linked to ""{0}"", Volume {1} ""{2}"", Chapter {3} ""{4}"" — type your request to work on this chapter"
CP.ClearChapterRefTooltip,取消章节关联,Unlink chapter
CP.EditModeHint,修改模式：直接输入修改后的内容，发送后生效,Edit mode: type the revised content and send to apply it
CP.AttachChapterTooltip,关联章节（书 → 卷 → 章），关联后直接输入要求处理该章,"Link a chapter (Book → Volume → Chapter); once linked, type your request to work on it directly"
CP.SendTooltip,发送（Enter）,Send (Enter)
CP.StageBlueprint,总纲规划,Blueprint Planning
CP.StagePlotLines,剧情线规划,Plot Line Planning
CP.StageVolumes,分卷规划,Volume Planning
CP.StageChapterDrafts,章节剧情草稿,Chapter Plot Drafts
CP.StageChapterContent,章节正文创作,Chapter Content Writing
CP.StageCompleted,已完成,Completed
CP.StageNone,未开始,Not Started
CP.StatusItemPending,待裁决,Pending
CP.StatusAccepted,已采纳,Accepted
CP.StatusModified,已修改,Modified
CP.StatusCardRejected,已放弃整卡,Card Discarded
CP.StatusRejected,已放弃,Discarded
CP.StatusExpired,已过期（已被新卡片取代）,Expired (superseded by a newer card)
CPS.Connected,已连接《{0}》的创作助手。你可以直接告诉我想法（例如规划这本书、看看第三章、打开剧情管理），我会帮你完成。,"Connected to the writing assistant for ""{0}"". Just tell me what you'd like to do (e.g. plan this book, look at chapter three, open plot management) and I'll take care of it."
CPS.ProcessFailed,处理失败：{0},Processing failed: {0}
CPS.PipelineInProgress,流水线已在进行中（当前阶段：{0}）。回复「继续创作」推进，或「重新生成」调整当前阶段。,"A pipeline is already running (current stage: {0}). Reply ""Continue Writing"" to advance, or ""Regenerate"" to rework the current stage."
CPS.AskIdea,请先用一句话告诉我你对这本书的想法（题材、主角、核心冲突或想写的故事），我会据此规划全书总纲。,"First tell me in one sentence what your book is about (genre, protagonist, core conflict, or the story you want to write), and I'll plan the overall outline accordingly."
CPS.NoStageToRegenerate,当前没有进行中的流水线阶段可重新生成。回复「开始规划」可启动。,"There is no active pipeline stage to regenerate. Reply ""Start Planning"" to begin."
CPS.LocateOrdinalChapter,（定位第{0}章）,(Locating chapter {0})
CPS.LocateOrdinalItem,（定位第{0}项）,(Locating item {0})
CPS.LocateEntity,（定位：{0}）,(Locating: {0})
CPS.SwitchedTo,已切换到{0}{1}。,Switched to {0}{1}.
CPS.StatusHeader,《{0}》当前进度：,"Current progress of ""{0}"":"
CPS.StatusVolumes,- 卷宗：{0} 卷,- Volumes: {0} volume(s)
CPS.StatusPlots,- 剧情/剧情线：{0} 条,- Plots/storylines: {0}
CPS.StatusChapters,- 章节：{0} 章（已完成正文 {1} 章，共 {2} 字）,"- Chapters: {0} ({1} with finished content, {2} characters in total)"
CPS.StatusPipeline,- 流水线：{0},- Pipeline: {0}
CPS.QueryFailed,查询失败：{0},Query failed: {0}
CPS.OfflineFreeQa,AI 推理服务当前离线，无法回答自由问题。导航、查询与流水线操作不受影响；可在「AI模型配置」页检查服务状态。,"The AI inference service is currently offline and cannot answer free-form questions. Navigation, queries, and pipeline operations are unaffected; check the service status on the ""AI Model Configuration"" page."
CPS.EmptyAIResponse,AI 返回了空内容，请换个问法。,The AI returned an empty response. Please try rephrasing your question.
CPS.AIInferFailed,AI 推理失败：{0},AI inference failed: {0}
CPS.UnknownError,未知错误,Unknown error
CPS.RefBrief,｜梗概：{0}, | Synopsis: {0}
CPS.AttachedRef,已关联《{0}》第{1}卷第{2}章《{3}》{4}。\n直接输入要求即可处理本章（如：润色全文 / 重写开头 / 扩写战斗场面 / 续写结尾），处理结果将生成确认卡，采纳后直接更新本章正文；也可以针对本章提问（如：这章的节奏有什么问题）。输入「取消关联」可解除。,"Linked to ""{0}"", Volume {1}, Chapter {2} ""{3}""{4}.\nType your request to work on this chapter directly (e.g. polish the whole text / rewrite the opening / expand the fight scene / continue the ending). The result will appear as a confirmation card; once accepted, this chapter's content is updated immediately. You can also ask questions about this chapter (e.g. what's wrong with its pacing). Type ""Unlink"" to detach."
CPS.ChapterRefCleared,已取消章节关联，恢复普通助手模式。,Chapter link removed; back to normal assistant mode.
CPS.ChapterProcessFailed,章节处理失败：{0},Chapter processing failed: {0}
CPS.OfflineChapterQa,AI 推理服务当前离线，无法分析章节内容。处理章节与取消关联不受影响。,The AI inference service is currently offline and cannot analyze chapter content. Processing chapters and unlinking are unaffected.
CPS.ChapterQaFailed,章节问答失败：{0},Chapter Q&A failed: {0}
CPS.NoItemsSelected,请先勾选要采纳的项（点击各项「采纳」），或使用「全部采纳」。,"Please first check the items to accept (click ""Accept"" on each item), or use ""Accept All""."
CPS.Persisted,已落库 {0} 项到数据库。,Persisted {0} item(s) to the database.
CPS.ChapterUpdated,《{0}》正文已更新。可继续输入新的处理要求，或输入「取消关联」解除关联。,"""{0}"" has been updated. You can keep entering new requests, or type ""Unlink"" to detach."
CPS.PersistFailed,落库失败：{0},Failed to persist: {0}
CPS.DefaultChapterTitle,目标章节,Target chapter
CPS.CardRejectedRegenerating,已放弃本卡全部内容，正在重新生成…,All content in this card was discarded; regenerating...
CPS.EditSaved,已更新「{0}」的修改内容，点击该项「采纳」生效。,"The edits for ""{0}"" have been saved. Click ""Accept"" on that item to apply them."
CPS.ErrNoVolumesForVolumes,项目还没有卷宗，请先采纳分卷确认卡。,The project has no volumes yet. Please accept the volume plan card first.
CPS.SummaryTruncated,「{0}」梗概超过 1000 字，已截断保存。,"The synopsis of ""{0}"" exceeded 1000 characters and was truncated before saving."
CPS.ErrChapterMissing,目标章节不存在或已被删除，请重新关联。,The target chapter does not exist or has been deleted. Please link a chapter again.
CPS.ErrNoVolumes,项目还没有卷宗。,The project has no volumes yet.
CPS.ErrNoPendingChapters,当前卷没有待写章节。,The current volume has no chapters waiting to be written.
CPS.StatusNotStarted,创作流水线尚未开始。回复「开始规划」并描述你的想法即可启动。,"The writing pipeline hasn't started yet. Reply ""Start Planning"" with your idea to begin."
CPS.StatusCompleted,流水线已完成 {0} 卷创作。回复「继续创作」可追加下一卷。,"The pipeline has finished writing {0} volume(s). Reply ""Continue Writing"" to add the next one."
CPS.StatusInProgress,流水线进行中：{0}（第{1}卷 第{2}章）。等待你对当前确认卡做出裁决。,"Pipeline in progress: {0} (Volume {1}, Chapter {2}). Waiting for your ruling on the current confirmation card."
CPS.DestVolumeManagement,卷章管理,Volume & Chapter Management
CPS.DestTimeline,时间线,Timeline
CPS.DestDialogGeneration,对话生成器,Dialogue Generator
CPS.StartPlanning,收到！我将根据你的想法为《{0}》规划全书。先从总纲开始。,"Got it! I'll plan the whole book ""{0}"" based on your idea, starting with the overall outline."
CPS.Resumed,已恢复《{0}》的创作流水线（当前阶段：{1}），正在重建确认卡…,"Resumed the writing pipeline for ""{0}"" (current stage: {1}); rebuilding confirmation cards..."
CPS.Regenerating,收到整改意见，正在按你的要求重新生成当前阶段…,Got your revision notes; regenerating the current stage as requested...
CPS.AppendVolumeIntro,好的，我们继续规划后续分卷。基于总纲与已有剧情，我会给出接下来几卷的安排。,"All right, let's continue planning the remaining volumes. Based on the outline and existing plots, I'll lay out the next few volumes."
CPS.StageReportAllDone,全部已规划卷章创作完成,All planned volumes and chapters are complete
CPS.DoneVolumes,已完成 {0} 卷创作,{0} volume(s) completed
CPS.AppendNextHint,如需追加后续大纲，请回复「继续创作」，我会规划下一卷；也可以随时告诉我想调整的地方。,"To add more outline content, reply ""Continue Writing"" and I'll plan the next volume; you can also tell me what to adjust at any time."
CPS.GenerateFailed,生成失败：{0}。请回复「重新生成」重试，或告诉我新的想法。,"Generation failed: {0}. Reply ""Regenerate"" to try again, or tell me a new idea."
CPS.CardBlueprintTitle,全书总纲（{0}）,Overall Outline ({0})
CPS.CardBlueprintSummary,以下是为你规划的全书总纲，可采纳、修改或放弃后让我重新生成。,"Here is the overall outline I've planned for you. Accept it, edit it, or discard it and ask me to regenerate."
CPS.StageReportBlueprint,总纲规划完成,Overall outline planning complete
CPS.ErrNoBlueprintPlots,未找到已采纳的总纲，无法规划剧情线。请先采纳总纲确认卡。,No accepted overall outline found; cannot plan plot lines. Please accept the outline card first.
CPS.ErrParsePlotLines,剧情线输出解析失败（未找到编号行），请回复「重新生成」重试。,"Failed to parse the plot line output (no numbered lines found). Reply ""Regenerate"" to try again."
CPS.CardPlotLinesTitle,剧情线规划,Plot Line Planning
CPS.CardPlotLinesSummary,共 {0} 条剧情线，采纳后将写入剧情管理。,{0} plot line(s) in total; accepting will write them into Plot Management.
CPS.StageReportPlotLines,剧情线规划完成,Plot line planning complete
CPS.ErrNoBlueprintVolumes,未找到已采纳的总纲，无法规划分卷。请先采纳总纲确认卡。,No accepted overall outline found; cannot plan volumes. Please accept the outline card first.
CPS.ErrParseVolumes,分卷输出解析失败（未找到编号行），请回复「重新生成」重试。,"Failed to parse the volume output (no numbered lines found). Reply ""Regenerate"" to try again."
CPS.CardVolumesTitle,分卷规划,Volume Planning
CPS.CardVolumesSummary,共 {0} 卷，采纳后将创建卷宗。,{0} volume(s) in total; accepting will create the volume records.
CPS.StageReportVolumes,分卷规划完成,Volume planning complete
CPS.ErrNoVolumeDrafts,未找到当前卷宗，请先采纳分卷确认卡。,Current volume not found. Please accept the volume plan card first.
CPS.ErrParseChapterDrafts,章节梗概输出解析失败（未找到编号行），请回复「重新生成」重试。,"Failed to parse the chapter synopsis output (no numbered lines found). Reply ""Regenerate"" to try again."
CPS.CardChapterDraftsTitle,第{0}卷章节剧情草稿,Chapter Plot Drafts for Volume {0}
CPS.CardChapterDraftsSummary,共 {0} 章梗概，采纳后将创建章节（状态：草稿）。,{0} chapter synopsis(es) in total; accepting will create the chapters (status: draft).
CPS.StageReportChapterDrafts,第{0}卷章节剧情草稿完成,Chapter plot drafts for Volume {0} complete
CPS.CoverChapterBriefs,覆盖 {0} 章梗概,Covers {0} chapter synopsis(es)
CPS.ErrNoChapterDrafts,未找到待写章节，请先采纳章节草稿确认卡。,No chapters waiting to be written. Please accept the chapter draft card first.
CPS.CreatingChapterContent,正在为第{0}卷第{1}章《{2}》创作正文（切片拼接，目标 {3} 字以上）…,"Writing the content of Volume {0}, Chapter {1} ""{2}"" (stitched slices, targeting at least {3} characters)..."
CPS.CardChapterContentTitle,第{0}章正文（{1}字）,Chapter {0} Content ({1} characters)
CPS.CardChapterContentSummary,《{0}》正文已完成，共 {1} 字。可采纳落库、逐项修改后采纳，或放弃整卡重写。,"The content of ""{0}"" is complete, {1} characters in total. Accept to save it, edit items one by one before accepting, or discard the card to rewrite."
CPS.StageReportChapterContent,第{0}章正文完成,Content of Chapter {0} complete
CPS.ChapterWordCount,《{0}》共 {1} 字,"""{0}"": {1} characters in total"
CPS.ProcessingChapter,正在按你的要求处理《{0}》第{1}卷第{2}章《{3}》（原文 {4} 字）…,"Processing ""{0}"", Volume {1}, Chapter {2} ""{3}"" as requested ({4} characters of original text)..."
CPS.CreatingFromBrief,《{0}》还没有正文，我将按梗概与你的要求创作本章正文…,"""{0}"" has no content yet; I'll write this chapter based on the synopsis and your request..."
CPS.CardChapterProcessTitle,章节处理：{0}（{1} → {2} 字）,Chapter processing: {0} ({1} → {2} chars)
CPS.OriginalWords,原文 {0} 字,original {0} characters
CPS.DraftToText,草稿成文,draft turned into text
CPS.CardChapterProcessSummary,已按你的要求处理该章，采纳后直接更新本章正文；也可逐项修改后采纳，或放弃整卡重新提要求。,"This chapter has been processed as requested; accepting directly updates its content. You can also edit items one by one before accepting, or discard the card and make a new request."
CPS.StageReportChapterProcessed,《{0}》处理完成,"""{0}"" processing complete"
CPS.OriginalToProcessed,原文 {0} 字 → 处理后 {1} 字,original {0} characters → processed {1} characters
CPS.GeneratedFromBrief,根据梗概生成 {0} 字,{0} characters generated from the synopsis
CPS.WillUpdateChapter,采纳后将直接更新该章正文（不推进流水线）,Accepting will directly update this chapter's content (the pipeline will not advance)
AICfg.Subtitle,配置和管理AI模型提供者,Configure and manage AI model providers
AICfg.TestConnection,测试连接,Test Connection
AICfg.SaveConfig,保存配置,Save Configuration
AICfg.RecommendedOrder,推荐配置顺序,Recommended Setup Order
AICfg.Step1,1. 先选择默认提供者,1. Choose the default providers first
AICfg.Step2,2. 再填写 API Key 或本地模型路径,2. Fill in the API key or local model path
AICfg.Step3,3. 点击测试连接并保存配置,3. Click Test Connection and save the configuration
AICfg.UsageTips,使用建议,Usage Tips
AICfg.TipMainAgentCloud,MainAgent 建议使用云端强模型,MainAgent works best with a strong cloud model
AICfg.TipSubAgentLocal,SubAgent 建议使用本地模型做整理与归档,SubAgent works best with a local model for organizing and archiving
AICfg.TipReleaseDir,发布版保存到用户目录，不会覆盖安装文件,Release builds save to the user directory and never overwrite installed files
AICfg.ConfigFileLocation,当前配置文件位置,Current configuration file location
AICfg.LoadingDots,加载中...,Loading...
AICfg.SaveEffectiveNote,保存后配置立即生效，无需重启应用。,Changes take effect immediately after saving. No restart required.
AICfg.DefaultProvider,默认AI提供者,Default AI Providers
AICfg.HintDefaultDecisionProvider,默认决策类AI提供者,Default decision-making AI provider
AICfg.ProviderLlamaCpp,llama.cpp (本地GGUF),llama.cpp (local GGUF)
AICfg.ProviderOllama,Ollama (本地模型),Ollama (local models)
AICfg.ProviderZhipuAI,智谱AI (云端免费),ZhipuAI (free cloud)
AICfg.ProviderDeepSeek,DeepSeek (云端模型),DeepSeek (cloud models)
AICfg.ProviderXiaoMiMiMo,小米米模 (云端模型),Xiaomi MiMo (cloud models)
AICfg.ProviderMCP,MCP (协议模型),MCP (protocol models)
AICfg.HintDefaultCompletionProvider,默认续写类AI提供者,Default continuation AI provider
AICfg.ProviderRWKV,RWKV (本地续写),RWKV (local continuation)
AICfg.DualAgentTitle,MainAgent / SubAgent 双代理配置,MainAgent / SubAgent Dual-Agent Setup
AICfg.DualAgentDesc,建议由稠密模型承担 MainAgent，MoE 或本地 GGUF 模型承担 SubAgent。SubAgent 负责总结需求、整理定稿并归档。,"Use a dense model for MainAgent and a MoE or local GGUF model for SubAgent. SubAgent summarizes requirements, polishes final drafts, and archives them."
AICfg.EnableDualAgent,启用 MainAgent / SubAgent 双代理写作流,Enable the MainAgent / SubAgent dual-agent workflow
AICfg.HintMainAgentProvider,MainAgent 提供者,MainAgent provider
AICfg.ProviderDeepSeekDense,DeepSeek (推荐稠密模型),DeepSeek (dense model recommended)
AICfg.ProviderZhipuAIOnly,智谱AI,ZhipuAI
AICfg.ProviderLlamaCppGguf,llama.cpp (推荐 GGUF),llama.cpp (GGUF recommended)
AICfg.ProviderXiaoMi,小米米模,Xiaomi MiMo
AICfg.HintMainAgentModel,MainAgent 模型（可选，留空使用提供者默认模型）,MainAgent model (optional; leave empty to use the provider default)
AICfg.HintMainAgentRole,MainAgent 职责描述,MainAgent role description
AICfg.MainAgentRoleText,结合 SubAgent 的需求简报撰写正式文案，专注内容创作。,"Write the final prose based on SubAgent's requirement briefs, focused on content creation."
AICfg.HintSubAgentProvider,SubAgent 提供者,SubAgent provider
AICfg.ProviderLlamaCppMoe,llama.cpp (推荐 MoE/GGUF),llama.cpp (MoE/GGUF recommended)
AICfg.ProviderOllamaShort,Ollama,Ollama
AICfg.ProviderDeepSeekOnly,DeepSeek,DeepSeek
AICfg.ProviderOpenAI,OpenAI,OpenAI
AICfg.HintSubAgentModel,SubAgent 模型（可选，留空使用提供者默认模型）,SubAgent model (optional; leave empty to use the provider default)
AICfg.HintSubAgentRole,SubAgent 职责描述,SubAgent role description
AICfg.SubAgentRoleText,总结写作需求，整理 MainAgent 草稿，并将纯净内容写入项目档案库。,"Summarize writing requirements, organize MainAgent drafts, and write clean content into the project archive."
AICfg.AllowArchiveWrite,允许 SubAgent 将纯净定稿写入正式项目档案库,Allow SubAgent to write clean final drafts into the project archive
AICfg.RwkvTitle,RWKV 续写模型配置,RWKV Continuation Model
AICfg.StatusNotConfigured,未配置,Not configured
AICfg.RwkvDesc,本地 RWKV 推理服务，默认优先集成纯 CUDA 版，适配 RWKV7-G1i 并为 RWKV8 RPU 预留，扫描支持 .pth / .safetensors / .st,Local RWKV inference service. The pure CUDA build is integrated first; fits RWKV7-G1i with RWKV8 RPU reserved. Scans .pth / .safetensors / .st files
AICfg.RefreshStatus,刷新状态,Refresh Status
AICfg.StartRuntime,一键启动,Start
AICfg.StopRuntime,一键关闭,Stop
AICfg.HintRwkvBaseUrl,推理服务地址,Inference service URL
AICfg.HintModelName,模型名称,Model name
AICfg.HintSelectRwkvModel,选择RWKV模型,Select RWKV model
AICfg.Scan,扫描,Scan
AICfg.HintStrategy,推理策略,Inference strategy
AICfg.HintMaxTokens,单次续写最大Token数 (1-200),Max tokens per completion (1-200)
AICfg.HintTemperature,温度 (0-2),Temperature (0-2)
AICfg.HintTopP,Top-P 采样,Top-P sampling
AICfg.HintTopK,Top-K 采样,Top-K sampling
AICfg.HintFreqPenalty,频率惩罚,Frequency penalty
AICfg.HintPresencePenalty,出现惩罚,Presence penalty
AICfg.HintTimeoutSeconds,超时时间(秒),Timeout (seconds)
AICfg.HintMaxRetries,最大重试次数,Max retries
AICfg.ServerSettings,服务启动设置,Service Startup Settings
AICfg.AutoStartServer,自动启动推理服务,Auto-start inference service
AICfg.HintGpuDeviceId,GPU设备ID (-1为自动),GPU device ID (-1 = auto)
AICfg.HintPythonPath,Python解释器路径,Python interpreter path
AICfg.HintRwkvExePath,RWKV 本地推理可执行文件路径,RWKV local inference executable path
AICfg.HintContextSize,上下文大小,Context size
AICfg.HintMaxConcurrent,最大并发请求数,Max concurrent requests
AICfg.LlamaTitle,llama.cpp 本地推理配置,llama.cpp Local Inference
AICfg.LlamaDesc,基于 llama-server.exe 的本地 GGUF 推理服务，支持按后端与模型按需启动,"Local GGUF inference service based on llama-server.exe, started on demand per backend and model"
AICfg.ScanModels,扫描模型,Scan Models
AICfg.HintLlamaBackend,llama.cpp 后端,llama.cpp backend
AICfg.HintServerUrl,服务地址,Server URL
AICfg.HintLlamaExePath,llama-server.exe 路径,llama-server.exe path
AICfg.HintGgufDir,GGUF 模型目录,GGUF model directory
AICfg.HintOnDemandModel,按需启动模型,On-demand model
AICfg.HintMmprojPath,mmproj 路径（可选）,mmproj path (optional)
AICfg.HintContextLength,上下文长度,Context length
AICfg.HintGpuLayers,GPU Layers (-1 全量自动),GPU layers (-1 = full auto)
AICfg.HintLlamaApiKey,服务 API Key（可选）,Service API key (optional)
AICfg.HintParallelSlots,并行槽位,Parallel slots
AICfg.EnableFlashAttention,启用 Flash Attention,Enable Flash Attention
